name,image_url
半春莲,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9yZW5qaXlpeXVhbi5jb20vdXBsb2Fkcy9hbGxpbWcvMjIxMDEyLzlfWVpXMTUuanBn&sign=yx:oXepKpq06bP9ib4GILdOjGexFhI=&tv=400_400
布狗尾,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3NzMi5tZWlwaWFuLm1lL3VzZXJzLzUyNTM5OTMwLzAwMDliODMyNTVhNDU1MTY5NzZlZDRkYzY3OTBmYzFmLmpwZz9tZWlwaWFuLXJhdy9idWNrZXQvaXZ3ZW4va2V5L2RYTmxjbk12TlRJMU16azVNekF2TURBd09XSTRNekkxTldFME5UVXhOamszTm1Wa05HUmpOamM1TUdaak1XWXVhbkJuL3NpZ24vMTcwMDhmZjE4MmQ0NTIzMmNmNTc1NThmYWI5OTUyNjcuanBn&sign=yx:E0XXSHIR-JCJO_48X_qQWeyJm5w=&tv=400_400
川椒,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly81YjA5ODhlNTk1MjI1LmNkbi5zb2h1Y3MuY29tL2ltYWdlcy8yMDE3MTEwNy80ZWZjYjRmYzNhY2Y0NjQ5YTczYWE1ZjdiYzMyNzMxOS5qcGVn&sign=yx:WuY5pNXNYmTmgQxZZTfxQaneMHQ=&tv=400_400
蝮蛇,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9uLnNpbmFpbWcuY24vc2luYWtkMjAyMDQyMnMvMTE1L3cxMDgwaDYzNS8yMDIwMDQyMi9hNjg0LWlzcWl2eGY5NjQ3MDQ3LmpwZw==&sign=yx:Fffdc4Hr3ukuidSnm9MM9eXY-s8=&tv=400_400
覆盆子,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly93d3cuNzFjbC5jb20vVXBGaWxlLzIwMjIwNS8yMDIyMDUxMTc3NjcxOTQ1LmpwZw==&sign=yx:hHXTSPApoYUhRKfF0PAybK_OMCk=&tv=400_400
凤尾草,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9tbWJpei5xcGljLmNuL21tYml6X2pwZy9nOWlhY3I1WlJCU3VGZGp6bmVsdVZRdldaUTJDbVRHTXlybkQ0QjBQRnFVZ3Y3T1poQUYyeFd5TGVIUmlheFpjZ0lISVFob2lhTnB6aWJVd3lFdHRIemJZdHcvNjQwP3d4X2ZtdD1qcGVn&sign=yx:P9NnOgv9T6MIxyYdQbFU8KAnbNY=&tv=400_400
枸杞叶,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3BpY24uaHVpdHUuY29tL3BpYy8yMDI0MDczMC8yMDI0MDczMDIzNDg0NDMyMTkzMV8wLmpwZw==&sign=yx:ZvPt_Lehd75Ppnc517w5ikLQa8Y=&tv=400_400
海参,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9haW1nOC5kbHNzeWh0LmNuL3UvMjA4MzQwNy9wcm9kdWN0LzIwMzEvNDA2MDcyMV8xNjEwNTAzODQwLmpwZw==&sign=yx:ntLRW0twSt-ACZiI-g_K_O1u6Yw=&tv=400_400
海蜇皮,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL2ltZy55emNkbi5jbi91cGxvYWRfZmlsZXMvMjAyMC8wNy8wMy9GaFBWekpIS0t6YWROekhTbnZ0VU1zVlN2QTZxLmpwZw==&sign=yx:Q9uq6JAhRYrmanJESSoO5Ell8Lc=&tv=400_400
金刚藤头,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9wNS5pdGMuY24vcV83MC9pbWFnZXMwMS8yMDIzMDYxMC8zYThhOGZhYWZkMWY0OTQ2YTc5NWI2NGRkZjRkYTc4Zi5qcGVn&sign=yx:_YbXkVah3NW80Wg774QkSVCu2nw=&tv=400_400
苦瓜,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9wMC5zc2wuaW1nLjM2MGt1YWkuY29tL2RtZmQvX182MC90MTE1MDhjNzVjODlkNzkyM2QwMjExZjk5NjIuanBn&sign=yx:qaAacS68oVj8QT6qj3lNsh_hKyo=&tv=400_400
鹿角胶,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9zOS5yci5pdGMuY24vci93YXBDaGFuZ2UvMjAxNjEyXzE3XzExL2ExZmMydTU4NTgyOTA3NTg2Mi5qcGc=&sign=yx:lkCLNvMhVRhU8N375SaiMRb5G8E=&tv=400_400
神曲,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9pbmV3cy5ndGltZy5jb20vbmV3c2FwcF9idC8wLzEyNzQ3Mjg4MTQ2LzEwMDAuanBn&sign=yx:_siFRUidckbXL0Hd8QdvnQIDXt0=&tv=400_400
老君须,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9zdGF0aWMuemh1YWJhaWtlLmNvbS9pbWFnZXMvMjAyNC8xMi8wNS9jMTk3Y2Q1MGQzZjFiMjVjOTNhODAwYjVlZDVjNDlhNS5qcGc=&sign=yx:VFcSKeWojv-TESVvqYvvLq4fLmU=&tv=400_400
络石藤,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3BpY242Ny5odWl0dS5jb20vcGljLzIwMTkwNjE5LzIwMTkwNjE5MTAzMjE3NjAyOTAwXzAuanBn&sign=yx:WGlQzJQ6mrpPdpEDe5zJh7ZZhEg=&tv=400_400
毛慈菇,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3p5Y3RkLWluZm8ub3NzLWNuLWJlaWppbmcuYWxpeXVuY3MuY29tL2RjZjZmYjI4N2VjMDRlOGZhOTI5MGM5MzUwMzg2NThkLmpwZw==&sign=yx:9hy3Jt_rxXxfR5JM3uUNxoZ0lZ8=&tv=400_400
牛黄,https://kkimgs.yisou.com/ims?kt=url&at=ori&key=aHR0cHM6Ly9wNS5pdGMuY24vcV83MC9pbWFnZXMwMy8yMDIzMDYyMS8zYmNmZDc2ZTQ3NjQ0ZWI0OGE2MmVjM2U5M2UwODY5Ni5wbmc=&sign=yx:Ef_4_YPyemrPCUKvuw6hfKRfsPc=&tv=0_0
女儿红根,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9wMS1iay5ieXRlaW1nLmNvbS90b3MtY24taS1tbGhkbXhzeTVtLzllZjk0NjY0MjM2ZjQwNmI4MmFlYzg3ZDExZjgxNzZhfnRwbHYtbWxoZG14c3k1bS1xNzU6MDowLmltYWdl&sign=yx:tu1sLVyY4KaUGI_apJ2_sPOIbg8=&tv=400_400
普洱茶,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9ia2ltZy5jZG4uYmNlYm9zLmNvbS9waWMvYWMzNDU5ODJiMmI3ZDBhMmM2OWRhZDk0YzFlZjc2MDk0YjM2OWE2Nw==&sign=yx:fQ3LPsFP0HPy75peJPLU3ae0unw=&tv=400_400
麻雀肉,https://kkimgs.yisou.com/ims?kt=url&at=ori&key=aHR0cHM6Ly9nc3MwLmJhaWR1LmNvbS83THNXZERXNV94TjNvdHFicHBuTjJESnYvemhpZGFvL3BpYy9pdGVtL2MyZmRmYzAzOTI0NWQ2ODg0Yjk5YTU3OWE5YzI3ZDFlZDMxYjI0NTcuanBn&sign=yx:I3poeIOU_afCloWY67c7TNfC1zg=&tv=0_0
瞿麦,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9pbWcuaHVhYmFpa2UuY29tL3VwbG9hZHMvYWxsaW1nL2FydGltZy8yMDE3MDcvMjAxNzA3MTgxMjE1MzJfMzE3NTIuanBn&sign=yx:7yRlGbe7z6XPNRQR3_wSph6kkkg=&tv=400_400
青蒿,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9iMC5iZHN0YXRpYy5jb20vdWdjLzRmeEZ6VUNZX01tempJYnVTSHdDNEExNjljNGZjNGQ4ZjJiOTIwYzU1ZTYxZDk0NmYzYTJiMS5qcGdAaF8xMjgw&sign=yx:rMlYLQvGjGIArN3zVf2KgjETWdc=&tv=400_400
轻粉,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly90Z2kxLmppYS5jb20vMTE0LzkzNS8xNDkzNTU1Mi5qcGc=&sign=yx:25_z2OWgU7A1JhxkjTRd1WxFv7U=&tv=400_400
青蛙,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL2ltYWdlMTA5LjM2MGRvYy5jb20vRG93bmxvYWRJbWcvMjAyNS8xMi8yMTE1LzMwNDU5OTc1NF8zXzIwMjUxMjIxMDMwMzI3MjgyLmpwZWc=&sign=yx:lU03azAhvlfH81w_cVvr43xQ6To=&tv=400_400
三叶青,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3NzMi5tZWlwaWFuLm1lL3VzZXJzLzcyMTk5ODMvOTU5MTUzZmZmZWUwNGY1MGE4ZDFhNjVmNjg5NzNiZTYuanBnP21laXBpYW4tcmF3L2J1Y2tldC9pdndlbi9rZXkvZFhObGNuTXZOekl4T1RrNE15ODVOVGt4TlRObVptWmxaVEEwWmpVd1lUaGtNV0UyTldZMk9EazNNMkpsTmk1cWNHYz0vc2lnbi9jNWQ2OWYxZjJhZDAwMWEzZjMzOTgwYjkyYmI0MmQyYS5qcGc=&sign=yx:m5DM8KdPw_dOvbOtZDH87kC8-i8=&tv=400_400
鼠李,https://kkimgs.yisou.com/ims?kt=url&at=ori&key=aHR0cDovL2ltZzMuZG91YmFuaW8uY29tL3ZpZXcvcGhvdG8vbC9wdWJsaWMvcDIyMDc5ODAzNTEuanBn&sign=yx:toTJj-jjXybmax2jxTnanqq6HDY=&tv=0_0
桑根,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9ia2ltZy5jZG4uYmNlYm9zLmNvbS9waWMvNmE2MDBjMzM4NzQ0ZWJmODFhNGMyNGM2NjRhZmMwMmE2MDU5MjQyZDA5ODk=&sign=yx:zL6ZcTA6eEmWWfI44alx_IiPfZY=&tv=400_400
石斛,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9pbWcuemNvb2wuY24vY29tbXVuaXR5LzAxMHhvMnRmZXdhMmRqams0N242Y3gzMjM5LmpwZz94LW9zcy1wcm9jZXNzPWltYWdlL2F1dG8tb3JpZW50LDEvcmVzaXplLG1fbGZpdCx3XzEyODAsbGltaXRfMS9zaGFycGVuLDEwMA==&sign=yx:HAPCiL79SA98QBooB_L1ikrFU7g=&tv=400_400
铜绿,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3BpYy5iYWlrZS5zb3NvLmNvbS9wLzIwMTQwMzE3LzIwMTQwMzE3MTU0MjA1LTE4OTIyNzk3NTguanBn&sign=yx:vFRR-CV7F_GchWn-n6OG0UmGEIs=&tv=400_400
犀角,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9pbWFnZTg0LjM2MGRvYy5jb20vRG93bmxvYWRJbWcvMjAxNS8wNC8wNjA1LzUyMDQ1NjAwXzI4LmpwZw==&sign=yx:5SpS5iz2cQKAW6Kdz2rBN-_G188=&tv=400_400
鲜地黄,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL2ltZy55aW11dGlhbi5jb20vc2VsbHMvNjU3MzAwYWRiODI3NzMwYTg4ZDU1ZDQyMGMzMDEwNDAtNzUwLTc1MEMuanBlZw==&sign=yx:KyX2_ohFCsXdtjuBpejI7ctQDmk=&tv=400_400
旋覆花,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL2ltYWdlLnNjaWVuY2VuZXQuY24vYWxidW0vMjAxNTEyLzA5LzE2MDE0NzIyd2ZheWwyMmI3NXNhNWYuanBn&sign=yx:QWPAEr7qygPkau79h9JTuKRLcgc=&tv=400_400
熊胆,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL2Rpbmd5dWUud3MuMTI2Lm5ldC8yMDIxLzAzMTcvOWRlNzg2OWRqMDBxcTJ6aHkwMDB0YzAwMGR3MDA4dmMuanBn&sign=yx:ai8myt_7IsfZAnkzuqOJMjUYCBI=&tv=400_400
徐长卿,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9tbWJpei5xcGljLmNuL21tYml6X2pwZy9EMGljdmF1bG9ydUZNWmV2VElZbW5XMVV1aEhpY1dkeEhFYTBMdG5jaWE4NThrV3JmSndyM241OWRsSEFpYUdBVFZXUjcyaGxXZjJ4eDhDM3dIcnFsVTFpY0lBLzY0MD93eF9mbXQ9anBlZyZmcm9tPWFwcG1zZw==&sign=yx:qfhj5MIa7yPuxiOw78c3wrB0EGA=&tv=400_400
小通草,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9waWMuYmFpa2Uuc29zby5jb20vdWdjL2JhaWtlcGljMi8wLzIwMjQwMjIxMTUyNjQ3LTE5ODUzODM1NDBfanBlZ182MzRfNDY4XzQxMDE0NC5qcGcvMzAw&sign=yx:q6wglm35CvWdNsMFRr6oXhB_rDA=&tv=400_400
西瓜霜,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9jYnUwMS5hbGljZG4uY29tL2ltZy9pYmFuay9PMUNOMDFiMWJDZmIxUGd4aW5meHpwZF8hITQxNjE3NDE4NzEtMC1jaWIuanBn&sign=yx:dgq7gMl4F_I5WRC5lJ9QHOerBkk=&tv=400_400
栀子,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3BpY2NuLmlodWFiZW4uY29tL3BpYy9jb21tdW5pdHkvMjAxOTA3LzE2MDkvMTU2MzI0MTA1NjgzNy02VjY5TTZPODZHXzEwMDAtNjY5LmpwZWc_eC1vc3MtcHJvY2Vzcz1pbWFnZS9yZXNpemUsd182NDA=&sign=yx:fWDRP9jMJPIHkhj708Ep7kENkqM=&tv=400_400
